all_count,all_fraction_gate_gt_half,all_fraction_offset_gt_5mm,all_gate_mean,all_offset_max_mm,all_offset_mean_mm,all_offset_median_mm,all_offset_p90_mm,ears_count,ears_fraction_gate_gt_half,ears_fraction_offset_gt_5mm,ears_gate_mean,ears_offset_max_mm,ears_offset_mean_mm,ears_offset_median_mm,ears_offset_p90_mm,eye_slots_count,eye_slots_fraction_gate_gt_half,eye_slots_fraction_offset_gt_5mm,eye_slots_gate_mean,eye_slots_offset_max_mm,eye_slots_offset_mean_mm,eye_slots_offset_median_mm,eye_slots_offset_p90_mm,face_count,face_fraction_gate_gt_half,face_fraction_offset_gt_5mm,face_gate_mean,face_offset_max_mm,face_offset_mean_mm,face_offset_median_mm,face_offset_p90_mm,method,n_id,n_obs,neck_count,neck_fraction_gate_gt_half,neck_fraction_offset_gt_5mm,neck_gate_mean,neck_offset_max_mm,neck_offset_mean_mm,neck_offset_median_mm,neck_offset_p90_mm,oral_slots_count,oral_slots_fraction_gate_gt_half,oral_slots_fraction_offset_gt_5mm,oral_slots_gate_mean,oral_slots_offset_max_mm,oral_slots_offset_mean_mm,oral_slots_offset_median_mm,oral_slots_offset_p90_mm,scalp_count,scalp_fraction_gate_gt_half,scalp_fraction_offset_gt_5mm,scalp_gate_mean,scalp_offset_max_mm,scalp_offset_mean_mm,scalp_offset_median_mm,scalp_offset_p90_mm,seed,subject,variant
5023,0.17539319131992834,0.800716703165439,0.2405046671628952,142.99496459960938,29.97154998779297,12.83390998840332,100.69171142578128,1176,0.19812925170068027,0.9642857142857143,0.29375898838043213,130.6208038330078,37.51456832885742,23.927410125732422,102.12759017944336,574,0.0,0.9982578397212544,0.07334596663713455,18.028465270996094,9.884422302246094,9.833782196044922,12.802572059631348,1883,0.10408921933085502,0.9941582580987786,0.19085796177387238,126.34249114990234,24.312999725341797,13.351076126098633,64.14099349975585,adaptive,128,1,253,1.0,1.0,0.9672120809555054,142.99496459960938,112.23846435546875,113.44986724853516,128.20833435058594,250,0.112,0.992,0.27320733666419983,89.76103210449219,34.02883529663086,31.403919219970703,63.32311248779297,489,0.4171779141104294,0.9529652351738241,0.4725158214569092,142.99496459960938,59.23263168334961,40.944175720214844,126.54280090332031,0,017,primary_s5_h128_20k
5023,0.17758311765876966,0.7969341031256222,0.24071471393108368,143.96969604492188,31.015827178955078,12.299189567565918,109.00774536132813,1176,0.20153061224489796,0.9608843537414966,0.2923802435398102,135.42698669433594,38.74295425415039,22.701229095458984,111.79223251342773,574,0.0,0.9895470383275261,0.068626768887043,17.585084915161133,9.462778091430664,9.430700302124023,12.231615734100343,1883,0.1088688263409453,0.9915029208709506,0.19167686998844147,130.79666137695312,25.17679786682129,12.9229154586792,71.30672149658203,adaptive,128,4,253,1.0,1.0,0.9798747897148132,143.96969604492188,117.90202331542969,119.20901489257812,131.67677307128906,250,0.128,0.992,0.27496692538261414,97.08262634277344,35.51959228515625,31.366886138916016,68.86361694335938,489,0.41513292433537835,0.9468302658486708,0.4734187424182892,143.96969604492188,61.150569915771484,39.15275192260742,131.27764892578125,0,017,primary_s5_h128_20k
5023,0.18295839139956202,0.7987258610392196,0.24445395171642303,143.8655548095703,31.45199966430664,12.679338455200195,109.5325378417969,1176,0.21258503401360543,0.9617346938775511,0.2989791929721832,135.3129119873047,39.5495719909668,23.820640563964844,112.76103210449219,574,0.0,0.9947735191637631,0.07062695175409317,17.903701782226562,9.715836524963379,9.672536849975586,12.652616786956791,1883,0.11524163568773234,0.9930961232076474,0.1963706612586975,130.88720703125,25.738122940063477,13.285198211669922,73.27265625,adaptive,128,8,253,1.0,1.0,0.980161726474762,143.8655548095703,117.767822265625,119.06288146972656,131.5397979736328,250,0.144,0.992,0.2855159342288971,98.29987335205078,36.765804290771484,33.04560852050781,71.10761337280273,489,0.41513292433537835,0.9488752556237219,0.4747794270515442,143.8655548095703,61.22310256958008,40.06536102294922,131.28683166503907,0,017,primary_s5_h128_20k
5023,0.00218992633884133,0.8833366514035437,0.12169460207223892,55.20766067504883,12.168231964111328,12.164042472839355,16.98571891784668,1176,0.0,0.9982993197278912,0.1352921426296234,27.22625732421875,12.84454345703125,12.754157066345215,15.474914073944092,574,0.0,1.0,0.0943579226732254,14.572439193725586,11.753880500793457,11.82697582244873,13.21572608947754,1883,0.0,0.9989378651088688,0.12065228819847107,32.394630432128906,13.491636276245117,12.890974044799805,17.16135025024414,adaptive,128,1,253,0.003952569169960474,1.0,0.3188173174858093,42.744667053222656,23.08173942565918,23.273677825927734,35.07544937133789,250,0.0,1.0,0.13187658786773682,20.43675994873047,13.64797592163086,13.112457275390625,17.076221466064453,489,0.0,0.9877300613496932,0.17415988445281982,42.744667053222656,14.407554626464844,13.975386619567871,19.217800903320313,0,060,primary_s5_h128_20k
5023,0.003981684252438782,0.8676089986064105,0.11773918569087982,56.18980407714844,12.012986183166504,11.694770812988281,17.609206390380862,1176,0.0,0.9974489795918368,0.13165895640850067,28.801189422607422,13.202068328857422,13.221314430236816,16.31274127960205,574,0.0,1.0,0.0842369943857193,13.851471900939941,10.79823112487793,10.846317291259766,12.2927077293396,1883,0.0,0.9978757302177377,0.11244519054889679,34.69956970214844,12.983146667480469,12.246134757995605,17.417714309692382,adaptive,128,4,253,0.015810276679841896,0.9881422924901185,0.34241122007369995,50.06494140625,24.185012817382812,24.147607803344727,36.87559432983399,250,0.0,1.0,0.12352581322193146,20.88471221923828,13.593114852905273,13.484094619750977,16.863349151611327,489,0.0,0.9713701431492843,0.179874449968338,50.06494140625,14.868056297302246,14.322039604187012,20.190301895141598,0,060,primary_s5_h128_20k
5023,0.007366115867011746,0.8656181564801911,0.11986847966909409,60.29508972167969,12.258867263793945,11.731517791748047,18.250502395629887,1176,0.0,0.9974489795918368,0.133975550532341,30.262962341308594,13.448873519897461,13.462854385375977,16.68771266937256,574,0.0,1.0,0.08353376388549805,13.842336654663086,10.717843055725098,10.772985458374023,12.235107421875,1883,0.0,0.9978757302177377,0.11303623765707016,36.88813018798828,13.05620288848877,12.225842475891113,17.819136810302734,adaptive,128,8,253,0.05138339920948617,0.9960474308300395,0.3613610565662384,54.83125686645508,26.56817054748535,26.586868286132812,40.2102554321289,250,0.0,1.0,0.12436996400356293,21.340105056762695,13.675665855407715,13.565773963928223,17.03630657196045,489,0.002044989775051125,0.9754601226993865,0.18593023717403412,54.83125686645508,15.644866943359375,14.900407791137695,22.439143371582023,0,060,primary_s5_h128_20k
5023,0.17758311765876966,0.7927533346605614,0.2416883260011673,143.8441162109375,29.000181198120117,12.547659873962402,97.10385894775392,1176,0.2032312925170068,0.9642857142857143,0.29011234641075134,129.5364532470703,35.00984573364258,19.831897735595703,97.37850189208984,574,0.0,0.9790940766550522,0.07522289454936981,19.09227752685547,9.837834358215332,9.711650848388672,13.170458030700685,1883,0.10408921933085502,0.9883165161975571,0.19553053379058838,128.92041015625,23.925539016723633,13.56696605682373,62.75107192993161,adaptive,128,1,253,1.0,1.0,0.9602148532867432,143.8441162109375,110.87139892578125,113.37310791015625,128.42141723632812,250,0.112,0.992,0.27828553318977356,87.81775665283203,32.97467803955078,30.113649368286133,59.74798545837402,489,0.42535787321063395,0.9427402862985685,0.47939977049827576,143.8441162109375,58.942264556884766,43.66685485839844,125.44976501464843,0,071,primary_s5_h128_20k
5023,0.14712323312761297,0.7505474815847103,0.2042659968137741,143.98753356933594,24.889184951782227,9.382034301757812,92.1308578491211,1176,0.14965986394557823,0.9430272108843537,0.23363253474235535,130.3446502685547,29.02066421508789,14.935744285583496,84.0257339477539,574,0.0,0.8989547038327527,0.05346006527543068,13.896010398864746,7.255002975463867,7.273220062255859,9.498502349853517,1883,0.07647371216144451,0.9431757833244823,0.15189167857170105,128.2621307373047,19.04891586303711,9.969457626342773,48.49350662231445,adaptive,128,4,253,1.0,1.0,0.9459090232849121,143.98753356933594,110.0072250366211,112.44469451904297,127.67741088867187,250,0.036,0.972,0.1984778642654419,71.0578384399414,24.008113861083984,21.04056739807129,44.34900550842284,489,0.3721881390593047,0.9222903885480572,0.431887149810791,143.98753356933594,53.65964126586914,31.20657730102539,124.81325836181641,0,071,primary_s5_h128_20k
5023,0.15050766474218594,0.7545291658371491,0.20935682952404022,144.20608520507812,25.391489028930664,9.604832649230957,93.06685028076171,1176,0.15731292517006804,0.9447278911564626,0.24279823899269104,130.2831573486328,29.95087242126465,15.601213455200195,87.75286865234375,574,0.0,0.9128919860627178,0.05522747337818146,14.290407180786133,7.440269947052002,7.459651947021484,9.802423667907716,1883,0.07859798194370685,0.9479553903345725,0.15719713270664215,128.64910888671875,19.576461791992188,10.24421501159668,50.207184600830075,adaptive,128,8,253,1.0,1.0,0.9493911266326904,144.20608520507812,110.2804183959961,112.8232650756836,128.47467651367188,250,0.04,0.976,0.20827192068099976,73.9868392944336,25.015106201171875,21.990283966064453,46.03616485595703,489,0.3783231083844581,0.9243353783231084,0.4379141330718994,144.20608520507812,54.222232818603516,32.17918014526367,125.30886993408203,0,071,primary_s5_h128_20k
5023,0.15409118056938084,0.8068883137567191,0.22390125691890717,143.83763122558594,28.593257904052734,12.268122673034668,106.65595245361328,1176,0.17006802721088435,0.9761904761904762,0.27291205525398254,138.08375549316406,34.823429107666016,19.883636474609375,97.25017166137695,574,0.0,1.0,0.07104828208684921,17.33999252319336,9.594043731689453,9.34324836730957,12.286415195465091,1883,0.07275624004248539,0.9946893255443441,0.16280899941921234,131.1648406982422,21.15154266357422,12.116888999938965,48.5605026245117,adaptive,128,1,253,1.0,1.0,0.957334041595459,143.83763122558594,120.2253189086914,121.39471435546875,130.8571746826172,250,0.016,0.992,0.18275445699691772,78.87443542480469,22.32505989074707,19.231496810913086,40.832509613037104,489,0.41922290388548056,0.9631901840490797,0.48079103231430054,143.83763122558594,61.8327751159668,43.2475700378418,131.13353576660157,0,102,primary_s5_h128_20k
